2017-03-03 21:23:15,484 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' D:\Alias\Project\ExpediaHotel\HotelsSearch\pom.xml
2017-03-03 21:23:16,237 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: HotelsSearch:HotelsSearch:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\HotelsSearch\pom.xml.
2017-03-03 21:23:16,660 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HotelsSearch/src/main/java
2017-03-03 21:23:16,660 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /HotelsSearch/src/main/resources
2017-03-03 21:23:16,661 [Worker-2] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /HotelsSearch/src/test/java
2017-03-03 21:23:18,149 [Worker-2] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Project import completed 2 sec
2017-03-03 21:23:18,193 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: HotelsSearch:HotelsSearch:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\HotelsSearch\pom.xml.
2017-03-03 21:23:19,669 [Worker-1] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: HotelsSearch:HotelsSearch:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\HotelsSearch\pom.xml.
2017-03-03 21:23:19,749 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:23:19,755 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-03 21:23:19,757 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:23:19,761 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\HotelsSearch\src\test\resources
2017-03-03 21:26:10,783 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:26:11,354 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hotels/src
2017-03-03 21:26:11,354 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hotels/src/test/java because it overlaps with /Hotels/src
2017-03-03 21:26:11,986 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-03-03 21:26:12,066 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:26:12,177 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Hotels/src
2017-03-03 21:26:12,177 [Worker-7] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Hotels/src/test/java because it overlaps with /Hotels/src
2017-03-03 21:26:12,374 [Worker-7] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Hotels
2017-03-03 21:26:12,383 [Worker-7] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2017-03-03 21:26:12,606 [Worker-0] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:26:12,662 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:26:12,666 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\main\resources
2017-03-03 21:26:12,667 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:26:12,672 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\test\resources
2017-03-03 21:39:38,342 [Worker-15] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Hotels:Hotels:0.0.1-SNAPSHOT @ D:\Alias\Project\ExpediaHotel\Hotels\pom.xml.
2017-03-03 21:39:38,463 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:39:38,468 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\main\resources
2017-03-03 21:39:38,470 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-03 21:39:38,475 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Alias\Project\ExpediaHotel\Hotels\src\test\resources
2017-03-03 21:39:38,476 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Hotels
2017-03-03 21:39:38,476 [Worker-15] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Hotels
